,MXWO0EN Index,MXWO0MT Index,MXWO0IN Index,MXWO0CD Index,MXWO0CS Index,MXWO0HC Index,MXWO0FN Index,MXWO0IT Index,MXWO0TC Index,MXWO0UT Index,MXWO0RE Index,MSDUBE,MSDUAS,MSDUSW,MSDUFI,MSDUSG,MSDUNE,MSDUSZ,MSDUAT,MSDUFR,MSDUUK,MSDUNZ,MSDUJN,MSDUSP,MSDUCA,MXUS,MXIL,MSDUSPT,MSDUIT,MSDUHK,MSDUIE,MSDUDE,MSDUNO,MSDUGR,VOW3 GY Equity
22/04/2010,-0.005976678,-0.006776509,-0.00484884,0.004608746,-0.002731283,-0.014640121,-0.007842259,-0.00216438,-0.010069431,-0.005213026,-0.00130086,-0.015292949,-0.013445028,-0.010614593,-0.075729013,0.002470662,-0.011140696,-0.020593157,-0.023684752,-0.019281237,-0.011457459,-0.001381223,-0.008378681,-0.029608973,0.001036352,0.002400607,-0.00605741,-0.031474755,-0.025236539,-0.005771479,-0.021535426,-0.023992327,-0.006580652,-0.017057943,0.012150176
23/04/2010,0.015629388,0.009237056,0.007406386,0.004492242,0.001873683,0.006272685,0.001761081,0.004096967,0.002479261,0.000900739,0.00360933,0.007528295,-0.011020002,0.041219145,0.004310947,0.003263674,0.011241114,0.010719868,0.015311145,0.011237745,0.007973188,0.010458376,-0.013547888,0.013202237,0.002033093,0.007314055,0.004691709,0.008639414,0.010402042,-0.009957741,0.047692439,0.019437878,0.006394661,0.01603761,-0.036221801
26/04/2010,-0.000430867,0.011459029,0.008689257,0.009491339,0.002570595,-0.004995358,-0.000469318,0.002268861,-0.000381025,-0.000270136,0.011249357,0.003056405,0.005840827,0.001381213,0.000423025,0.006354156,0.00718054,0.002730338,0.010694387,0.007800996,0.012224561,0.012149907,0.020700896,-0.001134561,0.004991715,-0.004399335,-0.012237614,-0.036620085,-0.000768834,0.014757549,0.007923264,0.014509531,0.006860224,0.008813747,0.000408247
27/04/2010,-0.026153557,-0.023393871,-0.020537229,-0.019169916,-0.017580111,-0.014240747,-0.028932312,-0.016451873,-0.020988544,-0.017625604,-0.019933737,-0.035442713,-0.00325865,-0.030567024,-0.026609248,-0.006631844,-0.028370427,-0.021490196,-0.02445693,-0.037288329,-0.034172168,-0.010557208,0.008252426,-0.044920554,-0.016558905,-0.023514823,-0.006523497,-0.051678877,-0.032948999,-0.013698031,-0.058609376,-0.012850593,-0.013495818,-0.029052881,-0.034042308
28/04/2010,0.003047773,-0.010127869,-0.01053781,-0.013279893,-0.008428133,-0.001594897,-0.007639642,-0.003808649,-0.011350415,-0.010689376,-0.008833786,-0.029210223,-0.013018407,-0.011617741,-0.018799627,-0.025686392,-0.02730035,-0.022157489,-0.032359505,-0.02440664,-0.011854366,-0.003565565,-0.026254732,-0.039977046,-0.011975969,0.006311958,-0.010393249,-0.023233692,-0.032596092,-0.011879221,-0.040139293,-0.028892215,-0.032750924,-0.020849286,-0.034950564
29/04/2010,-0.000617638,0.009226987,0.016407967,0.017220122,0.009219585,0.010913889,0.018333646,0.00840583,0.013100197,0.003975781,0.018166464,0.026457568,-0.002500894,0.024187206,0.017612162,0.013734606,0.021201087,0.016205775,0.009050193,0.017857019,0.009952369,0.009205666,-0.001646437,0.031036633,0.018432596,0.012644873,-0.017028934,0.042728693,0.012077332,-0.007341081,0.051376107,0.028328567,0.023003056,0.011179364,0.054051877
30/04/2010,-0.007841788,-0.008317759,-0.009034262,-0.009056811,-0.002772828,-0.007030776,-0.010331663,-0.01560094,0.002134473,0.005980054,-0.00201831,0.003072927,0.008195062,-0.004987225,0.013763176,0.003238726,-0.003814608,-0.002727071,0.010110532,-0.001741715,-0.009281788,0.00869779,0.012085745,0.0109619,-0.007558197,-0.016821867,0.001680282,0.015476042,-0.002210339,0.001888394,0.022892336,0.003932732,-0.004910568,-0.000347839,0.001793722
03/05/2010,0.002620768,-0.009260734,0.006031901,0.009344512,-0.000793651,-0.000198768,0.003375531,0.009158953,0,0.004119187,-0.052056913,-0.004847561,-0.011676613,-0.001447424,-0.01161974,-0.013935409,-0.004576935,-0.009662292,-0.003728422,-0.006011984,-0.005207845,-0.003844525,-0.005304294,-0.017972079,-0.00226339,0.012732417,0.006302654,-0.009909866,-0.006630053,-0.00814245,-0.009176049,-0.002894138,-0.003740427,-0.006366926,0.011240694
04/05/2010,-0.031637085,-0.039832414,-0.029570973,-0.02524651,-0.012141694,-0.010290315,-0.032039914,-0.026072676,-0.028309341,-0.018159692,0.046195189,-0.036526804,-0.025065385,-0.0417847,-0.038186576,-0.021703481,-0.041461824,-0.030153615,-0.05750161,-0.045958302,-0.033355678,-0.00546292,-5.29E-05,-0.06828484,-0.021549443,-0.024330078,-0.007589426,-0.048312629,-0.057333672,-0.002597056,-0.066980548,-0.024063811,-0.03378015,-0.04130721,-0.04460048
05/05/2010,-0.016248511,-0.009728992,-0.015681641,-0.014660986,-0.005803192,-0.003924138,-0.015150856,-0.006536359,-0.012036254,-0.013297321,-0.021050321,-0.022814504,-0.016713693,-0.046081777,-0.025310627,-0.023431786,-0.024249732,-0.019925298,-0.046576206,-0.026929329,-0.012669233,-0.022527082,0.001482159,-0.036985054,-0.017754404,-0.007034532,-0.025282042,-0.030667321,-0.024631546,-0.017065773,-0.039802,-0.034671488,-0.027194025,-0.022802642,-0.021320312
